skillId	bossID	PassiveSkill	PassiveSkillDescription	ActiveSkill	ActiveSkillDescription
9001	3001	Hell Curse	Mỗi khi Abyss Warlock thực hiện đòn đánh hoặc dùng kỹ năng, có 30% tỉ lệ nguyền rủa mục tiêu, khiến mục tiêu giảm 20% DEF trong 5 giây.	Hỏa Ngục Bùng Cháy	Khi HP của Abyss Warlock giảm xuống 70%, boss giải phóng năng lượng bóng tối gây 180% ATK sát thương AOE và áp dụng giảm 25% ATK của kẻ địch trong 5 giây.
9002	3002	Da Dung Nham	Khi HP của Inferno Behemoth giảm xuống 60%, boss nhận giảm 40% sát thương trong 10 giây và mỗi khi bị đánh có 30% tỉ lệ phản lại 80% ATK sát thương lên kẻ tấn công.	Nghiền Nát Dung Nham	Sau 5 đòn đánh thường, Inferno Behemoth đập đất gây 200% ATK sát thương AOE và áp dụng giảm 20% ATK Speed của kẻ địch trong 5 giây.
9003	3003	Lõi Bảo Tố	Mỗi khi Storm Dragon thực hiện đòn đánh thường hoặc sử dụng kỹ năng, có 30% tỉ lệ triệu hồi một tia sét đánh xuống mục tiêu ngẫu nhiên, gây 90% ATK sát thương. Hiệu ứng này có thời gian hồi 2 giây để tránh kích hoạt liên tục.	Lôi Vân Giáng Thế	Sau khi đánh thường 7 lần, Storm Dragon triệu hồi 5 tia sét đánh xuống đội hình kẻ địch, mỗi tia gây 150% ATK sát thương lên mục tiêu trúng phải và có 25% tỉ lệ gây choáng trong 1.5 giây.
9004	3004	Lõi Pháo Đài	Mỗi khi Iron Colossus mất 10% HP, nó nhận Shield = 8% Max HP trong 6 giây và tăng 20% DEF trong thời gian này. Hiệu ứng có cooldown 8s.	Động Đất	Khi HP của Iron Colossus giảm xuống 50%, boss đập mạnh xuống đất gây 220% ATK sát thương AOE và làm chậm 40% tốc độ đánh của kẻ địch trong 4 giây.
9005	3005	Nhiều Đầu	Mỗi khi Venom Hydra bị đánh trúng 5 lần, nó lập tức phun độc phản công gây 120% ATK sát thương lên toàn bộ kẻ địch.	Phun Nọc Độc	Sau mỗi 8 đòn đánh thường, Venom Hydra phun độc lên khu vực rộng gây 180% ATK sát thương và giảm 25% DEF của kẻ địch trong 5 giây.
9006	3006	Bóng Tối Rình Rập	Khi HP của Shadow Reaper giảm xuống 60% boss tăng 35% tốc độ đánh và 10% né tránh trong 8 giây.	Lưỡi Hái Bóng Tối	Sau 6 đòn đánh, Shadow Reaper dịch chuyển tới mục tiêu HP thấp nhất, gây 210% ATK sát thương và áp dụng giảm 25% DEF trong 4 giây.
9007	3007	Lõi Băng Giá	Mỗi khi Frost Titan mất 15% HP, nó phát ra làn sóng băng lam chậm 30% tốc độ đánh của kẻ địch trong 5 giây.	Bằng Hà Nghiền Nát	Sau 7 đòn đánh, Frost Titan đập băng xuống mặt đất gây 200% ATK sát thương AOE và có 30% tỉ lệ đóng băng mục tiêu trong 1.5 giây
9008	3008	Hỏa Thể	Mỗi khi Flame Emperor tấn công 4 lần, nó tích tụ năng lượng và tăng 25% ATK trong 5 giây.	Hỏa Vũ Thiên Diệt	Khi HP của Flame Emperor giảm xuống 40%, boss giải phóng mưa lửa đánh xuống toàn bộ kẻ địch gây 240% ATK sát thương AOE.
9009	3009	Dấu Ấn Lôi Đình	Mỗi khi Thunder Lord đánh trúng mục tiêu, nó đặt 1 dấu ấn sét lên mục tiêu đó. Khi mục tiêu có 3 dấu ấn, chúng sẽ phát nổ gây 160% ATK sát thương.	Phán Quyết Lôi Thần	Sau 6 đòn đánh thường, Thunder Lord triệu hồi tia sét khổng lồ đánh xuống mục tiêu có HP cao nhất, gây 230% ATK sát thương.
9010	3010	Huyết Ma	Mỗi khi Demon King mất 20% HP, boss hấp thụ năng lượng bóng tối và hồi lại 10% HP đồng thời tăng 20% ATK trong 6 giây.	Hủy Diệt Thế Giới	Khi HP của Demon King giảm xuống 30%, boss giải phóng sức mạnh hắc ám gây 260% ATK sát thương lên toàn bộ kẻ địch và giảm 30% DEF của chúng trong 6 giây
